names,lStriatum,lGloPal,lTha,lAntCerebLI_II,lAntCerebLIII,lAntCerebLIV,lAntCerebLV,lSupPostCerebLVI,lSupPostCerebCI,lSupPostCerebCII,lSupPostCerebLVIIB,lInfPostCerebLVIIIA,lInfPostCerebLVIIIB,lInfPostCerebLIX,lInfPostCerebLX,lAntCerebWM,lAmy,lHCA1,lSub,lFor,lCA4,lCA2_3,lStratum,lFimbra,lMamBody,lAlveus,rStriatum,rGloPal,rTha,rAntCerebLI_II,rAntCerebLIII,rAntCerebLIV,rAntCerebLV,rSupPostCerebLVI,rSupPostCerebCI,rSupPostCerebCII,rSupPostCerebLVIIB,rInfPostCerebLVIIIA,rInfPostCerebLVIIIB,rInfPostCerebLIX,rInfPostCerebLX,rAntCerebWM,rAmy,rHCA1,rSub,rFor,rCA4,rCA2_3,rStratum,rFimbra,rMamBody,rAlveus
G3_F_13_T1,7.5374,0.0973,4.0524,0.0375,0.6191,1.5496,3.0444,6.1499,8.4853,6.3417,3.5827,4.4865,2.6855,2.7679,0.4486,0.5330,1.2847,0.7938,0.2707,0.1145,0.6772,0.1258,0.5331,0.0494,0.0216,0.3773,7.6796,0.0980,4.1398,0.0619,0.5946,1.2723,2.8513,6.6332,9.0744,6.2960,3.7309,3.6333,2.7462,2.6626,0.4828,0.5431,1.2216,0.8580,0.2751,0.1056,0.6718,0.1536,0.4905,0.0711,0.0257,0.3098
G3_F_14_T1,8.0859,0.0793,4.0220,0.0493,0.5470,1.5108,2.9305,5.6968,7.8538,6.1613,3.3154,4.0807,2.3547,2.3476,0.4160,0.4457,1.3102,0.7159,0.2742,0.0548,0.5771,0.1005,0.4832,0.0326,0.0212,0.3223,8.2299,0.1182,4.0802,0.0712,0.6721,1.3205,3.0345,6.5362,7.7645,5.9877,3.6185,3.2172,2.3719,2.3480,0.3977,0.5146,1.2219,0.7964,0.2365,0.0979,0.6149,0.1324,0.4578,0.0420,0.0120,0.2840
G3_F_17_T1,7.0360,0.0983,4.7596,0.0480,0.4324,1.4190,2.5767,4.8044,8.2515,5.4716,3.0808,3.9515,2.2354,2.0656,0.4153,0.4525,1.1631,0.7520,0.2663,0.0869,0.6161,0.1082,0.4605,0.0545,0.0045,0.2979,7.2935,0.1444,4.8069,0.0761,0.5221,1.0701,2.4816,5.4816,7.7685,6.1921,3.5305,2.9496,1.9614,2.0200,0.4385,0.5012,1.1466,0.7760,0.2738,0.1115,0.5806,0.1228,0.4519,0.0399,0.0162,0.2850
G3_F_18_T1,7.2634,0.1112,3.2944,0.0536,0.7131,1.6695,3.5038,6.5401,10.3690,7.0355,3.8322,4.9219,2.9657,2.6006,0.5183,0.5520,1.1959,0.7138,0.2968,0.1291,0.6513,0.1065,0.4875,0.0428,0.0128,0.3175,7.4392,0.1905,3.5510,0.0885,0.7874,1.5134,3.4934,7.6160,10.2695,7.7448,4.0935,3.6850,2.7276,2.6291,0.4443,0.6088,1.1737,0.8635,0.2753,0.1380,0.6683,0.1565,0.4865,0.0566,0.0171,0.3201
G3_F_20_T1,6.9509,0.2304,4.0666,0.0478,0.6146,1.4718,2.7871,5.1237,7.6744,5.2193,2.9853,3.6705,2.1329,1.6927,0.4266,0.5435,1.1001,0.6477,0.2396,0.1212,0.5636,0.1123,0.4394,0.0753,0.0087,0.3222,7.0482,0.2652,3.8392,0.0879,0.6998,1.2400,2.6411,6.2921,8.3331,5.5193,3.0741,2.9112,2.1463,1.9313,0.4299,0.6203,1.1056,0.7132,0.2431,0.1331,0.5199,0.1287,0.4310,0.0526,0.0052,0.2675
G3_M_01_T1,7.3828,0.0925,4.2685,0.0468,0.6331,1.7801,3.0354,5.8822,8.7811,7.3465,4.0397,4.6519,2.6281,2.4559,0.4817,0.5026,1.2494,0.7099,0.2739,0.0714,0.6461,0.1013,0.5101,0.0408,0.0060,0.3105,7.8124,0.1411,4.5565,0.0803,0.6683,1.4118,2.9323,6.4855,9.6687,7.7623,4.2808,3.6568,2.5363,2.5537,0.4692,0.5683,1.2805,0.8309,0.2588,0.1114,0.6708,0.1357,0.5101,0.0701,0.0101,0.2852
G3_M_03_T1,7.1898,0.1090,3.2587,0.0456,0.6127,1.6611,3.4185,6.7479,9.4162,6.0358,2.8469,3.6013,2.6426,2.7621,0.3977,0.5397,1.2381,0.6623,0.2769,0.0777,0.6160,0.1119,0.4898,0.0489,0.0134,0.2804,7.3564,0.1306,3.5853,0.0753,0.6790,1.5395,3.1880,6.9347,9.6837,5.6866,3.1157,2.7814,2.1703,2.4325,0.4418,0.5836,1.1692,0.7186,0.2481,0.0995,0.6290,0.1371,0.4532,0.0374,0.0197,0.2696
G3_M_04_T1,8.8424,0.2255,4.1980,0.0564,0.5897,1.5423,2.9718,6.0498,9.5452,5.7440,2.9186,3.7911,2.4512,2.6899,0.4315,0.5767,1.4107,0.8242,0.2825,0.0749,0.7446,0.1352,0.5651,0.0503,0.0172,0.3660,8.9471,0.2529,4.2197,0.0683,0.6679,1.2070,3.0254,6.5542,9.7877,5.5939,2.9938,3.1440,2.4326,2.5831,0.4381,0.6596,1.4036,0.9660,0.3095,0.1001,0.7234,0.1609,0.5374,0.0442,0.0216,0.3379
G3_M_05_T1,8.3086,0.1273,4.3641,0.0573,0.5674,1.8476,3.0562,5.5144,10.3050,7.4650,4.3814,5.9849,3.4318,3.0464,0.4615,0.5489,1.2864,0.6345,0.3278,0.1257,0.5779,0.1106,0.4565,0.0608,0.0138,0.3120,8.2425,0.1573,4.5448,0.0920,0.6350,1.4222,2.8782,6.7818,9.2836,7.9240,4.5924,4.1900,3.0955,2.8554,0.4896,0.5477,1.3155,0.8385,0.2931,0.1200,0.6702,0.1246,0.5112,0.0556,0.0235,0.3089
G3_M_06_T1,10.0225,0.1392,4.4842,0.0604,0.5409,1.6603,3.1715,6.6419,10.5663,5.8987,2.8887,4.0593,2.9788,2.2302,0.4857,0.6069,1.4076,0.9328,0.3138,0.1019,0.7940,0.1483,0.6092,0.0618,0.0088,0.3823,10.3150,0.1386,4.3317,0.0819,0.5912,1.4205,3.1478,7.2565,10.3058,6.1789,3.2671,3.3182,2.6334,2.0243,0.5381,0.6487,1.4616,0.9858,0.3137,0.1136,0.7488,0.1573,0.5940,0.0406,0.0217,0.3430
G3_M_07_T1,8.4636,0.1691,3.9036,0.0650,0.6538,1.7546,3.5640,6.6208,9.3387,6.4308,3.6154,4.4409,2.6186,2.4293,0.5483,0.4872,1.2187,0.8515,0.2809,0.1051,0.7048,0.1241,0.5570,0.0705,0.0051,0.3514,8.5087,0.1187,3.8420,0.0895,0.7022,1.4380,3.2623,7.2119,9.0553,7.4165,3.8577,3.2663,2.4268,2.2902,0.5197,0.5160,1.2935,0.9356,0.2627,0.1134,0.6974,0.1669,0.5267,0.0615,0.0053,0.3311
G3_M_08_T1,8.9955,0.1710,3.6807,0.0516,0.6012,1.7210,3.4968,6.9876,10.9901,6.4296,3.2536,4.1113,2.4873,2.6160,0.5161,0.6089,1.3574,0.8150,0.2774,0.1289,0.6878,0.1253,0.5400,0.0668,0.0099,0.3566,9.1330,0.1715,3.6695,0.0714,0.6454,1.4244,3.3023,7.3784,11.3641,7.0921,3.8085,3.2834,2.3519,2.4231,0.5463,0.6293,1.4238,0.8883,0.2948,0.1226,0.7312,0.1696,0.5462,0.0516,0.0179,0.3196
G3_M_09_T1,7.2005,0.1574,4.3033,0.0534,0.5462,1.6096,3.2710,6.0507,9.7710,6.1089,3.1308,3.8317,2.2098,1.8125,0.5074,0.5677,1.2942,0.8882,0.2670,0.1253,0.7300,0.1342,0.5628,0.0754,0.0097,0.3723,7.4968,0.1692,4.5188,0.0766,0.6422,1.4490,3.2099,6.9892,9.9573,6.5132,3.2781,2.9971,1.9867,1.7444,0.5573,0.6450,1.2799,0.9688,0.3010,0.0914,0.6916,0.1577,0.5565,0.0508,0.0111,0.3336
G3_M_10_T1,9.1989,0.1541,3.7566,0.0521,0.6087,1.6887,3.5428,7.0556,10.5693,6.5238,3.7206,4.9825,3.0669,2.4127,0.6506,0.5702,1.4433,0.8317,0.2862,0.1349,0.6874,0.1256,0.5748,0.0645,0.0174,0.3813,9.4413,0.1666,4.2850,0.0897,0.7247,1.5863,3.5053,7.8073,10.4369,7.4320,4.1643,3.7619,2.7596,2.5728,0.5762,0.5258,1.4035,0.9172,0.3082,0.0972,0.7118,0.1652,0.5554,0.0644,0.0232,0.3238
G3_M_11_T1,7.4868,0.1186,4.3479,0.0507,0.4665,1.4435,2.9799,5.5989,7.0586,6.1501,3.2727,4.2319,2.5906,2.2709,0.3716,0.4394,1.2929,0.7705,0.2793,0.1266,0.6334,0.1076,0.5130,0.0346,0.0046,0.3236,7.6478,0.1409,4.4187,0.0917,0.5742,1.3694,3.0481,6.7424,8.0160,6.7446,3.8779,3.5475,2.4000,2.0006,0.3684,0.4576,1.3159,0.8889,0.2574,0.0975,0.5953,0.1233,0.4993,0.0399,0.0090,0.2796
G3_M_12_T1,7.7386,0.2101,3.4616,0.0501,0.5584,1.5649,2.8225,6.0999,9.7636,6.8034,3.7089,4.6100,2.6032,2.1027,0.5254,0.4591,1.3222,0.8125,0.2670,0.0626,0.6373,0.1222,0.5052,0.0315,0.0011,0.3335,8.4658,0.1959,3.8816,0.0709,0.5920,1.4487,2.9416,6.5426,10.2457,7.2419,4.0403,3.5825,2.6118,2.1829,0.4956,0.4670,1.3103,0.8867,0.2669,0.0824,0.6494,0.1290,0.5220,0.0363,0.0019,0.2892
G3_M_13_T1,8.1503,0.1298,3.1243,0.0744,0.7057,1.7565,3.2526,6.5356,9.9462,6.5188,3.5231,4.5322,3.0515,2.6067,0.5261,0.6876,1.3749,0.7928,0.2739,0.0872,0.6747,0.1427,0.5209,0.0574,0.0079,0.3629,8.6978,0.1485,3.4035,0.1033,0.7727,1.5984,3.3418,7.0487,11.3252,7.4551,3.8058,3.4247,2.9580,2.4907,0.5626,0.6701,1.4190,0.8816,0.2504,0.1381,0.6650,0.1507,0.5379,0.0627,0.0123,0.3357
G3_M_14_T1,7.0427,0.0902,4.8469,0.0404,0.5318,1.4054,2.8348,5.5385,9.7536,6.6061,3.6416,4.3101,2.4408,2.4048,0.4152,0.4343,1.3388,0.7691,0.2595,0.0701,0.6605,0.1318,0.5282,0.0561,0.0172,0.3426,7.4827,0.1102,4.9112,0.0671,0.5509,1.2622,2.9695,6.4368,9.6670,7.1876,3.9417,3.3540,2.2061,2.3227,0.4476,0.4758,1.3816,0.8993,0.2506,0.0784,0.6398,0.1594,0.5094,0.0437,0.0163,0.3128
G3_M_15_T1,7.5341,0.1684,4.8005,0.0497,0.6033,1.3283,2.8153,5.5467,9.4958,6.9584,3.8276,4.7352,2.5246,2.1305,0.4645,0.4983,1.2399,0.8271,0.2973,0.0834,0.6752,0.1057,0.5261,0.0289,0.0045,0.2882,8.0899,0.1433,4.8159,0.0798,0.6838,1.2246,2.8617,6.0129,8.8743,7.7176,4.1027,3.3697,2.2878,2.1866,0.4360,0.5360,1.2738,0.8614,0.2721,0.0831,0.6940,0.1169,0.4782,0.0423,0.0111,0.2902
G3_M_16_T1,7.8989,0.1970,4.5219,0.0400,0.4876,1.3354,3.0273,6.2502,7.3314,6.3537,3.2381,4.4149,2.5586,2.4253,0.5088,0.5772,1.3701,0.8663,0.3003,0.0744,0.7348,0.1320,0.5352,0.0401,0.0164,0.3197,7.8609,0.1787,4.4227,0.0722,0.5655,1.1988,3.1021,6.7797,8.2435,7.3371,3.7712,3.1520,2.2792,2.3241,0.5378,0.7338,1.3915,0.9371,0.3267,0.1127,0.7319,0.1640,0.5342,0.0513,0.0144,0.3244
G3_M_17_T1,8.8102,0.1065,4.0343,0.0493,0.5641,1.6114,3.1897,5.8896,9.0420,4.9181,2.6319,3.4251,2.2271,2.2412,0.4033,0.6223,1.3955,0.8435,0.3168,0.0686,0.7531,0.1239,0.5367,0.0687,0.0189,0.3625,9.1245,0.1675,4.2760,0.0776,0.5741,1.2956,3.1251,6.9858,10.0170,5.9549,2.8532,2.6013,2.1067,2.2256,0.4237,0.7203,1.4343,0.8836,0.2754,0.1234,0.7029,0.1919,0.5495,0.0837,0.0173,0.3297
G3_M_18_T1,7.6510,0.0966,4.1518,0.0562,0.5909,1.7245,2.7850,5.1899,8.9729,5.4273,2.8588,3.8405,2.5627,2.2480,0.4850,0.5693,1.2751,0.7778,0.2854,0.0846,0.6865,0.1167,0.5081,0.0545,0.0081,0.3503,7.6293,0.0925,4.1804,0.0835,0.6846,1.5376,3.0253,6.5499,9.3049,6.2816,3.4145,3.1822,2.5787,2.3587,0.4658,0.5794,1.2078,0.8539,0.2625,0.0869,0.6669,0.1636,0.4927,0.0559,0.0116,0.3046
G3_M_19_T1,9.1888,0.1328,4.6804,0.0505,0.6010,1.6225,3.5916,7.1434,10.0956,7.8423,4.6690,6.0339,2.9431,2.4746,0.5577,0.6205,1.4552,0.8269,0.3132,0.0835,0.7404,0.1257,0.5646,0.0390,0.0045,0.3536,9.4574,0.1234,4.4844,0.0955,0.6973,1.3756,3.4782,7.5706,10.3524,8.0857,4.8299,4.4519,2.9818,2.4610,0.5241,0.6238,1.4459,0.7885,0.3339,0.0660,0.6870,0.1312,0.5138,0.0504,0.0121,0.2767
G3_M_20_T1,8.1840,0.2078,4.9529,0.0638,0.6642,1.8284,3.6173,6.5351,9.9594,6.9100,3.6667,5.1230,3.3413,2.8983,0.5198,0.5685,1.4992,0.8525,0.3307,0.1140,0.7764,0.1377,0.6149,0.0333,0.0056,0.3658,8.4011,0.2873,4.9216,0.0959,0.7309,1.5679,3.5954,7.5940,10.4635,7.4720,4.0005,3.7277,2.9452,2.7708,0.5132,0.6615,1.4556,0.9498,0.3044,0.1207,0.7410,0.1671,0.5544,0.0685,0.0128,0.3541
G4_F_01_T1,6.2110,0.0715,3.3958,0.0533,0.5155,1.3569,2.9630,5.3318,7.0418,5.3021,3.0151,3.6045,1.8556,1.7170,0.4231,0.4339,1.0650,0.5941,0.2868,0.0988,0.5585,0.0927,0.3729,0.0533,0.0211,0.2705,6.4963,0.1083,3.7526,0.0939,0.6161,1.2933,2.8580,5.7379,6.5972,5.5870,3.1342,2.7780,1.8430,1.9575,0.4515,0.5721,1.0822,0.7648,0.2491,0.1710,0.6422,0.1405,0.4406,0.0534,0.0245,0.2848
G4_F_02_T1,6.9168,0.0852,3.6892,0.0454,0.4662,1.3017,2.6811,5.2858,7.4249,4.9971,2.7062,3.5263,1.9927,1.9271,0.4298,0.4750,1.1173,0.7144,0.2719,0.0969,0.6484,0.1108,0.4702,0.0312,0.0258,0.3150,7.3202,0.0957,3.7121,0.0699,0.5580,1.2789,2.8747,5.8405,7.6056,5.4060,2.7175,2.5458,1.9075,1.9069,0.4451,0.5369,1.1293,0.7852,0.2552,0.1316,0.6336,0.1530,0.4779,0.0528,0.0203,0.3161
G4_F_03_T1,6.9554,0.0607,3.8417,0.0403,0.4262,1.2062,2.4277,4.5159,6.4974,5.0624,2.4696,3.1977,1.8852,1.8943,0.3993,0.3246,1.1606,0.7318,0.2523,0.1009,0.6272,0.1030,0.4764,0.0473,0.0142,0.3062,7.0887,0.0808,3.8644,0.0608,0.4247,0.9919,2.3463,4.9565,6.6173,5.0246,2.9801,2.9653,1.9926,1.9204,0.4278,0.3771,1.0930,0.7462,0.2402,0.0839,0.6041,0.1402,0.4077,0.0465,0.0161,0.2802
G4_F_04_T1,7.5541,0.1375,3.9636,0.0411,0.5153,1.5896,3.1852,5.8191,7.5067,5.5095,3.0717,4.0607,2.1721,1.6827,0.3787,0.4687,1.1881,0.6474,0.2821,0.0620,0.5725,0.0969,0.4725,0.0386,0.0106,0.2540,7.7668,0.1615,4.0382,0.0796,0.5880,1.2367,3.1471,6.3255,7.3828,5.7728,3.4031,2.7880,1.8448,1.7885,0.3632,0.4409,1.1536,0.7087,0.2655,0.0613,0.5555,0.1209,0.4539,0.0375,0.0164,0.2648
G4_F_05_T1,8.4714,0.0740,4.4610,0.0410,0.6238,1.5695,3.1266,5.7021,9.6433,6.3321,3.4509,4.3091,2.6234,2.3897,0.4914,0.5007,1.2956,0.8693,0.3027,0.0960,0.7205,0.1154,0.5396,0.0376,0.0138,0.3304,8.9075,0.1054,4.7358,0.0732,0.6429,1.2123,2.8381,6.3233,9.7824,6.9601,3.6749,3.5164,2.5308,2.1786,0.4655,0.5483,1.3820,0.9542,0.2954,0.1016,0.7139,0.1661,0.5446,0.0577,0.0243,0.3369
G4_F_06_T1,7.1168,0.1198,4.3291,0.0456,0.5543,1.3955,2.9800,6.3410,9.9081,6.3127,3.4019,4.1930,2.2162,2.6183,0.5461,0.4582,1.3219,0.7982,0.2782,0.0809,0.7036,0.1183,0.5574,0.0577,0.0066,0.3450,7.3112,0.1511,4.3511,0.0788,0.6222,1.3299,2.7770,7.2748,10.5928,6.6306,3.7473,3.3455,2.2539,2.5023,0.4500,0.4540,1.2409,0.8554,0.2897,0.0952,0.6822,0.1574,0.4968,0.0612,0.0137,0.3004
G4_F_07_T1,6.5396,0.0501,4.4639,0.0501,0.5560,1.5287,3.0057,6.0949,8.7048,5.3249,3.1913,3.9573,2.1327,1.9617,0.4391,0.4299,1.1077,0.7243,0.2423,0.1041,0.5834,0.1316,0.4359,0.0488,0.0160,0.3406,6.7484,0.0511,4.7327,0.0821,0.6180,1.3276,3.0618,6.4839,8.5988,5.9007,3.3912,2.8967,1.9718,1.8556,0.4292,0.4964,1.0493,0.7502,0.2619,0.1139,0.5923,0.1380,0.4524,0.0579,0.0183,0.2993
G4_F_08_T1,7.4978,0.0738,3.6413,0.0484,0.5266,1.4294,2.6158,5.4363,7.1049,5.4524,3.0457,3.7314,2.0979,2.0701,0.4475,0.4156,1.1559,0.7545,0.3012,0.0701,0.6662,0.0971,0.4924,0.0473,0.0021,0.3017,7.8400,0.0995,3.7107,0.0797,0.5595,1.2407,2.5779,5.9963,7.6471,5.8925,3.2676,2.6956,1.9798,2.0541,0.4757,0.4432,1.1981,0.7768,0.2989,0.0806,0.6196,0.1351,0.4404,0.0411,0.0131,0.2746
G4_F_09_T1,6.9381,0.1106,4.1640,0.0538,0.5372,1.5267,2.8075,6.0442,8.6003,7.1590,3.9663,4.8447,2.7065,2.7498,0.5046,0.4709,1.2252,0.7527,0.2494,0.0745,0.6332,0.1078,0.4934,0.0395,0.0077,0.3248,7.0252,0.1030,4.3206,0.0935,0.6285,1.3159,2.7135,6.4450,8.8559,7.5795,4.2752,3.9420,2.5209,2.6157,0.5034,0.4742,1.2053,0.8125,0.2538,0.0888,0.6141,0.1348,0.4620,0.0421,0.0134,0.2994
G4_F_10_T1,6.7292,0.0861,3.8960,0.0537,0.5242,1.4800,2.8477,5.7854,8.3804,4.9650,2.7236,3.3944,2.1842,2.3971,0.4241,0.4303,1.1101,0.6828,0.2452,0.1063,0.6015,0.0942,0.4528,0.0460,0.0152,0.2794,7.3240,0.1096,4.1352,0.0909,0.5824,1.3145,2.6871,6.3481,8.2467,5.2928,2.9193,2.7155,2.0903,2.2628,0.4232,0.4684,1.1745,0.7514,0.2579,0.1155,0.5853,0.1309,0.4308,0.0453,0.0155,0.2621
G4_F_11_T1,6.4140,0.1264,4.5191,0.0413,0.5158,1.4428,2.4036,4.8688,7.2975,5.6731,2.8477,3.6093,1.9972,1.8884,0.3345,0.4144,1.1690,0.6876,0.2465,0.1097,0.6361,0.1301,0.4781,0.0715,0.0094,0.3482,6.8087,0.1321,4.3874,0.0575,0.5587,1.2581,2.5544,5.1961,7.3565,5.8943,3.0978,2.7348,1.8906,1.8496,0.3157,0.5158,1.2015,0.8288,0.2896,0.1166,0.6562,0.1330,0.4941,0.0537,0.0094,0.2995
G4_F_12_T1,6.9071,0.1380,4.5350,0.0370,0.4207,1.2887,2.9277,4.7458,6.9397,4.9732,2.9169,4.0041,2.1584,1.7948,0.4238,0.4549,1.0776,0.7045,0.2468,0.0856,0.5949,0.1040,0.4381,0.0394,0.0051,0.3114,7.4399,0.1353,4.5098,0.0643,0.5260,1.1266,2.7216,5.1098,7.4673,5.7039,3.1309,2.8211,1.8937,1.8483,0.3555,0.4663,1.0842,0.7856,0.2502,0.1216,0.6038,0.1322,0.4560,0.0497,0.0055,0.2796
G4_F_13_T1,7.9144,0.1764,3.6510,0.0532,0.5742,1.6219,3.0896,6.5201,9.5850,5.6499,3.7518,4.8757,2.5012,2.4505,0.4863,0.5435,1.2419,0.6746,0.2572,0.0935,0.6254,0.1018,0.5017,0.0440,0.0046,0.2896,8.1953,0.2402,3.9252,0.0770,0.6806,1.4461,3.1111,6.7897,9.2029,6.3252,4.0704,3.8481,2.5175,2.5307,0.5166,0.6459,1.1544,0.7409,0.2542,0.1162,0.6153,0.1396,0.4469,0.0318,0.0095,0.2497
G4_F_15_T1,7.0774,0.1211,3.7692,0.0323,0.4586,1.0666,2.3465,4.3443,7.1916,4.9048,2.6235,3.2733,1.8089,2.0446,0.3517,0.4651,1.1144,0.6834,0.2138,0.1151,0.5878,0.1221,0.4717,0.0433,0.0078,0.2925,7.3362,0.1321,3.9954,0.0652,0.4555,0.9658,2.2263,4.8235,7.1819,4.7348,2.8133,2.5959,1.8859,2.0274,0.3257,0.6077,1.1507,0.7242,0.2442,0.0870,0.5624,0.1312,0.4270,0.0383,0.0082,0.2432
