names,lStriatum,lGloPal,lTha,lAntCerebLI_II,lAntCerebLIII,lAntCerebLIV,lAntCerebLV,lSupPostCerebLVI,lSupPostCerebCI,lSupPostCerebCII,lSupPostCerebLVIIB,lInfPostCerebLVIIIA,lInfPostCerebLVIIIB,lInfPostCerebLIX,lInfPostCerebLX,lAntCerebWM,lAmy,lHCA1,lSub,lFor,lCA4,lCA2_3,lStratum,lFimbra,lMamBody,lAlveus,rStriatum,rGloPal,rTha,rAntCerebLI_II,rAntCerebLIII,rAntCerebLIV,rAntCerebLV,rSupPostCerebLVI,rSupPostCerebCI,rSupPostCerebCII,rSupPostCerebLVIIB,rInfPostCerebLVIIIA,rInfPostCerebLVIIIB,rInfPostCerebLIX,rInfPostCerebLX,rAntCerebWM,rAmy,rHCA1,rSub,rFor,rCA4,rCA2_3,rStratum,rFimbra,rMamBody,rAlveus
G3_F_13_T1,1.0881,1.4397,1.7482,0.0205,0.1988,0.5196,0.8117,1.3542,2.3783,1.3733,0.8069,0.8851,0.7878,0.9909,0.0737,7.3916,0.0160,0.0572,0.0419,0.2761,0.0103,0.0052,0.0062,0.0528,0.0152,0.0219,1.1664,1.3140,1.6564,0.0383,0.2627,0.4228,0.7756,1.6134,2.6466,1.3765,0.6386,0.8139,0.8685,0.9373,0.0981,7.4229,0.0158,0.0368,0.0319,0.3105,0.0044,0.0034,0.0049,0.0172,0.0171,0.0249
G3_F_14_T1,0.9222,1.4077,1.4359,0.0102,0.2097,0.5941,0.8103,1.6285,2.3840,1.6504,0.7725,0.7948,0.8991,0.8156,0.0734,6.7699,0.0042,0.0675,0.0405,0.3118,0.0171,0.0072,0.0008,0.0570,0.0179,0.0082,0.9673,1.2638,1.4652,0.0218,0.2776,0.4803,0.8084,1.3780,2.3507,1.7170,0.7541,0.7428,0.8206,0.7063,0.0990,7.0041,0.0055,0.0533,0.0295,0.2646,0.0203,0.0146,0.0022,0.0364,0.0201,0.0135
G3_F_17_T1,1.3721,1.4407,1.5284,0.0167,0.3147,0.6935,1.0592,1.4775,2.3269,1.5197,0.8393,1.0581,0.8552,0.9621,0.0785,7.1146,0.0150,0.0605,0.0607,0.3519,0.0143,0.0074,0.0181,0.0451,0.0255,0.0476,1.4946,1.3186,1.4465,0.0184,0.3642,0.5627,0.9045,1.6151,2.7081,1.7913,0.8784,0.9695,0.9681,0.9199,0.1078,7.3680,0.0104,0.0736,0.0383,0.3148,0.0031,0.0300,0.0082,0.0540,0.0203,0.0383
G3_F_18_T1,1.2730,1.4338,1.8654,0.0086,0.1926,0.6902,0.9266,1.6961,2.5903,1.6675,0.7131,1.0333,1.0547,1.5321,0.0860,8.0109,0.0648,0.1307,0.0272,0.2212,0.0081,0.0029,0.0028,0.0508,0.0250,0.0182,1.3279,1.2015,1.7991,0.0332,0.2350,0.5630,0.8838,1.6914,3.2756,1.7902,0.7794,1.0697,0.9558,1.4521,0.1318,8.3205,0.0454,0.0460,0.0292,0.2673,0.0069,0.0045,0.0078,0.0318,0.0196,0.0167
G3_F_20_T1,0.8575,1.1076,1.3469,0.0182,0.1694,0.4814,0.7230,1.1583,2.3581,1.2074,0.5554,0.7075,0.5453,0.6377,0.0630,6.0473,0.0057,0.0593,0.0210,0.1939,0.0223,0.0037,0.0038,0.0140,0.0229,0.0070,0.8194,0.9758,1.3731,0.0266,0.1948,0.4140,0.6816,1.3056,2.3679,1.0233,0.4652,0.6842,0.6481,0.7103,0.0606,6.1051,0.0088,0.0608,0.0169,0.2227,0.0058,0.0033,0,0.0181,0.0242,0.0014
G3_M_01_T1,1.7089,1.5985,2.0568,0.0173,0.1932,0.6822,0.7832,1.3308,2.0823,1.7634,0.7922,1.3457,1.0357,0.9920,0.0894,7.8347,0.0252,0.1194,0.0541,0.1973,0.0098,0.0100,0.0025,0.0566,0.0349,0.0578,1.7131,1.4209,1.9952,0.0244,0.2283,0.4904,0.7714,1.2910,2.2702,1.8768,0.7665,1.2113,0.9470,1.0782,0.1253,7.9921,0.0098,0.0906,0.0492,0.2566,0.0074,0.0143,0.0071,0.0225,0.0287,0.0384
G3_M_03_T1,1.3076,1.5275,2.1519,0.0172,0.2258,0.6074,0.6985,1.8973,2.1572,0.8110,0.6628,1.0757,1.1739,0.8566,0.1394,7.6810,0.0161,0.1556,0.0401,0.2723,0.0060,0.0031,0.0092,0.0453,0.0235,0.0441,1.3159,1.3844,1.9542,0.0353,0.2658,0.3641,0.7752,1.8043,1.8813,1.0033,0.6188,1.1248,0.9082,0.9580,0.1159,7.5939,0.0278,0.1195,0.0309,0.2875,0.0060,0.0039,0.0068,0.0466,0.0180,0.0402
G3_M_04_T1,1.3036,1.5185,2.0038,0.0105,0.1920,0.5774,0.6948,1.4147,2.5127,1.0686,0.6509,1.0013,1.0105,0.8515,0.0934,6.7325,0.0252,0.0989,0.0425,0.3798,0.0072,0.0027,0.0131,0.0557,0.0259,0.0223,1.2550,1.3561,1.7931,0.0246,0.2409,0.4812,0.6999,1.4253,3.0495,1.2250,0.6389,0.9230,1.1541,1.0450,0.1139,7.0298,0.0185,0.0669,0.0219,0.3763,0.0051,0.0073,0.0016,0.0598,0.0245,0.0300
G3_M_05_T1,1.2171,1.4887,1.7761,0.0043,0.2833,0.6205,0.8600,1.6105,2.4950,1.6023,0.5961,1.2317,0.9359,1.3000,0.0978,7.9930,0.0110,0.1717,0.0242,0.2740,0.0589,0.0091,0.0345,0.0327,0.0248,0.0309,1.3527,1.3667,1.7086,0.0164,0.2706,0.5147,0.9047,1.7196,2.2343,1.7178,0.6917,1.1111,1.0914,1.4430,0.1379,8.1471,0.0102,0.0998,0.0426,0.3519,0.0144,0.0264,0.0022,0.0422,0.0191,0.0287
G3_M_06_T1,1.5346,1.8008,2.5066,0.0123,0.2798,0.6225,0.9585,1.8060,3.1310,1.5070,1.0564,1.3682,1.4976,1.1064,0.1428,7.8887,0.0086,0.0906,0.0813,0.4596,0.0085,0.0027,0.0064,0.0551,0.0340,0.0308,1.6213,1.6404,2.5522,0.0299,0.3960,0.5461,0.9341,1.9662,3.1305,1.5925,1.2659,1.1168,1.3708,1.2574,0.1616,8.0915,0.0067,0.1075,0.0643,0.4030,0.0133,0.0053,0.0008,0.0664,0.0324,0.0293
G3_M_07_T1,1.2440,1.5429,2.1335,0.0142,0.2944,0.6106,0.8839,1.5225,2.3189,1.6652,0.9701,1.5759,1.1152,1.0060,0.0772,8.4116,0.0442,0.0879,0.0599,0.3778,0.0223,0.0074,0.0049,0.0349,0.0377,0.0173,1.3715,1.4353,2.0848,0.0276,0.3278,0.5341,0.8934,1.7486,2.5228,2.1805,1.1461,1.1979,1.2158,1.0930,0.0765,8.3904,0.0189,0.0914,0.0495,0.3596,0.0064,0.0171,0.0143,0.0465,0.0344,0.0207
G3_M_08_T1,1.2808,1.6880,2.4557,0.0279,0.3196,0.6932,0.9562,1.9637,2.9774,2.1846,1.3245,1.5747,1.1230,1.0778,0.0973,8.4527,0.0134,0.1146,0.0808,0.3553,0.0346,0.0138,0.0161,0.0463,0.0318,0.0283,1.4573,1.5435,2.4282,0.0343,0.3940,0.5177,0.9583,2.2184,3.8863,2.4721,1.3005,1.3653,1.3334,1.3309,0.1216,8.8013,0.0083,0.1659,0.0763,0.3789,0.0124,0.0205,0.0080,0.0596,0.0246,0.0215
G3_M_09_T1,1.3835,1.4393,2.0697,0.0124,0.3273,0.8572,1.1321,1.4307,2.5255,1.2814,0.6550,0.9511,0.9902,1.0801,0.1293,7.6393,0.0232,0.0837,0.0797,0.3362,0.0113,0.0046,0.0058,0.0362,0.0213,0.0249,1.3354,1.2418,1.8908,0.0215,0.3776,0.5669,1.0185,1.7957,2.4822,1.1190,0.6402,0.8799,1.0837,1.2044,0.1367,7.7133,0.0099,0.0852,0.0410,0.3785,0.0095,0.0119,0.0009,0.0408,0.0280,0.0140
G3_M_10_T1,1.4589,1.7159,2.6500,0.0117,0.2490,0.7550,0.8874,1.5402,2.5486,1.1746,0.6786,1.4271,1.1416,1.0499,0.0614,8.7550,0.0116,0.1266,0.0622,0.2696,0.0157,0.0110,0.0043,0.0492,0.0268,0.0411,1.5743,1.5594,2.4548,0.0251,0.2706,0.5291,0.9535,1.4927,2.8226,1.4704,0.7993,1.1948,0.9629,0.9170,0.0782,8.6926,0.0166,0.1062,0.0367,0.2852,0.0142,0.0148,0.0004,0.0259,0.0220,0.0244
G3_M_11_T1,1.4155,1.4605,1.7024,0.0066,0.3120,0.8040,1.2113,2.3686,2.3685,1.8205,0.8793,1.4137,1.2014,1.0960,0.1871,7.6002,0.0258,0.0978,0.0547,0.2600,0.0065,0.0144,0.0069,0.0649,0.0301,0.0408,1.4436,1.2971,1.7621,0.0071,0.3905,0.7164,1.3083,2.1486,2.3344,1.6231,0.8260,0.9589,0.9713,1.1302,0.2028,7.9874,0.0147,0.0615,0.0366,0.3126,0.0087,0.0367,0.0051,0.0426,0.0269,0.0342
G3_M_12_T1,1.0950,1.4029,2.1368,0.0196,0.2769,0.7137,1.2434,2.3998,3.3974,2.1154,1.1055,1.3711,0.9919,1.0766,0.1093,8.1590,0.0117,0.0695,0.0730,0.3590,0.0048,0.0064,0.0161,0.0825,0.0324,0.0451,0.8574,1.3251,1.9848,0.0449,0.3844,0.6790,1.2435,2.2768,3.3262,2.0195,0.9942,1.2184,0.9422,1.0622,0.1212,8.3344,0.0111,0.0635,0.0501,0.3780,0.0098,0.0200,0.0072,0.0494,0.0302,0.0382
G3_M_13_T1,1.4007,1.6292,2.5350,0.0152,0.2577,0.7195,0.9131,1.6168,2.9019,1.4448,1.0101,1.3510,1.0440,0.9803,0.1244,7.8339,0.0183,0.1129,0.0675,0.4007,0.0329,0.0115,0.0321,0.0472,0.0340,0.0496,1.1783,1.4629,2.3659,0.0232,0.3149,0.4824,0.9094,1.5480,2.9619,1.3998,0.7878,1.1913,1.0040,1.0965,0.1341,7.9848,0.0217,0.1314,0.0789,0.2988,0.0299,0.0212,0.0290,0.0361,0.0309,0.0407
G3_M_14_T1,1.5596,1.4548,1.5026,0.0182,0.2601,0.5964,0.8573,1.6553,3.0361,1.6426,0.7199,1.2457,0.8232,1.0749,0.1963,7.3439,0.0234,0.1328,0.0675,0.3507,0.0213,0.0072,0.0160,0.0454,0.0215,0.0434,1.5248,1.3029,1.3937,0.0316,0.3293,0.4811,0.8935,1.5791,3.0696,2.0329,0.8321,1.0309,0.9443,1.1008,0.2272,7.6225,0.0044,0.0747,0.0644,0.3031,0.0057,0.0176,0.0122,0.0544,0.0260,0.0438
G3_M_15_T1,1.2834,1.4545,1.6869,0.0126,0.2714,0.6858,1.0393,1.4906,2.9172,1.8213,0.8655,1.6207,1.0695,1.1040,0.0814,8.0423,0.0933,0.0759,0.0621,0.3675,0.0080,0.0229,0.0130,0.0764,0.0282,0.0740,1.1293,1.2998,1.5654,0.0237,0.3314,0.6792,1.0720,1.5595,2.7749,2.3398,0.8939,1.2149,1.0380,1.0556,0.1017,8.2719,0.0205,0.0652,0.0384,0.3688,0.0072,0.0309,0.0063,0.0647,0.0246,0.0569
G3_M_16_T1,0.7745,1.2579,1.3894,0.0086,0.2472,0.4929,0.7874,1.9680,2.3813,2.0120,0.9848,1.1891,0.8524,0.6704,0.1413,6.6232,0.0244,0.0754,0.0346,0.2470,0.0027,0.0137,0.0030,0.0553,0.0180,0.0616,0.9139,1.1560,1.4804,0.0319,0.2838,0.5007,0.7935,1.8372,2.7828,2.0075,1.0508,0.8668,0.7242,0.7138,0.1572,6.8320,0.0052,0.0479,0.0243,0.3145,0.0024,0.0094,0.0005,0.0461,0.0268,0.0411
G3_M_17_T1,1.2284,1.5610,2.1557,0.0110,0.3096,0.7012,1.0019,1.6510,2.8751,1.3634,0.8022,1.1910,0.8464,0.9482,0.1610,6.7918,0.0343,0.0638,0.0337,0.3767,0.0139,0.0176,0.0069,0.0578,0.0217,0.0246,1.3821,1.3544,2.0768,0.0328,0.3143,0.5445,0.9659,1.8104,3.1044,1.6458,0.9419,1.4365,1.2461,1.1705,0.2080,7.0663,0.0186,0.1322,0.0457,0.2652,0.0262,0.0080,0.0011,0.0256,0.0231,0.0263
G3_M_18_T1,0.8015,1.2551,1.4941,0.0122,0.1989,0.4645,1.0250,1.9250,2.7570,1.9868,0.8085,1.1643,0.8497,0.9076,0.1136,5.9014,0.0215,0.0748,0.0317,0.3290,0.0054,0.0077,0.0049,0.0463,0.0255,0.0418,0.9108,1.1602,1.5266,0.0294,0.3122,0.5260,0.9776,1.4269,2.7572,2.0434,0.8034,0.9886,0.7420,0.8975,0.1692,6.3308,0.0081,0.0650,0.0359,0.3368,0.0039,0.0147,0.0124,0.0398,0.0205,0.0230
G3_M_19_T1,1.1080,1.5996,2.0256,0.0241,0.4062,0.8058,1.2432,2.4999,3.6885,2.6969,1.0273,1.3987,1.3702,1.2306,0.1166,9.3756,0.0102,0.1233,0.0718,0.3945,0.0051,0.0083,0.0077,0.0790,0.0330,0.0487,1.1136,1.4712,2.1247,0.0330,0.4703,0.6774,1.1236,2.3575,3.8757,2.5131,0.9482,1.0564,1.3656,1.2265,0.1583,9.2281,0.0059,0.2024,0.0192,0.3429,0.0053,0.0108,0.0044,0.0517,0.0242,0.0302
G3_M_20_T1,1.3075,1.5075,1.8860,0.0135,0.2985,0.7967,1.0765,1.7467,2.6156,1.6270,1.1441,1.6024,1.2397,1.1403,0.1477,8.0665,0.0475,0.1550,0.0639,0.3634,0.0082,0.0080,0.0080,0.0742,0.0313,0.0675,1.3773,1.3175,1.8797,0.0317,0.4082,0.6909,1.1057,1.7949,2.7497,2.0722,1.0575,1.2959,1.2933,1.0324,0.1936,8.4154,0.0081,0.1011,0.0526,0.3315,0.0154,0.0121,0.0095,0.0419,0.0286,0.0466
G4_F_01_T1,1.2384,1.2385,1.5334,0.0101,0.2280,0.5638,0.8603,1.4359,1.9552,1.2126,0.5909,1.0245,0.8364,0.7371,0.0768,6.7122,0.0178,0.1326,0.0162,0.1574,0.0379,0.0084,0.0212,0.0302,0.0148,0.0284,1.2365,1.1227,1.5157,0.0162,0.2672,0.4386,0.7860,1.5148,1.7838,1.1777,0.6408,0.8886,0.7264,0.8045,0.0707,6.5429,0.0067,0.0762,0.0419,0.1807,0.0004,0.0085,0.0039,0.0316,0.0148,0.0058
G4_F_02_T1,1.0359,1.3078,1.5469,0.0091,0.2519,0.6044,0.8421,1.6813,2.7188,1.2993,0.7934,0.9385,0.9255,0.8114,0.0902,6.4521,0.0268,0.1074,0.0311,0.3320,0.0095,0.0052,0.0061,0.0608,0.0148,0.0330,1.0130,1.1783,1.5550,0.0156,0.3319,0.4359,0.8170,1.7348,2.5731,1.5939,0.7948,0.9572,0.8250,0.8270,0.0710,6.5867,0.0072,0.0672,0.0278,0.2888,0.0084,0.0030,0.0051,0.0209,0.0152,0.0106
G4_F_03_T1,1.3959,1.4223,1.7612,0.0089,0.1927,0.4036,0.6071,0.8800,1.8121,1.4012,0.6489,0.8948,0.7605,0.6557,0.0505,5.9457,0.0097,0.0645,0.0477,0.2928,0.0036,0.0036,0.0065,0.0487,0.0189,0.0192,1.3668,1.2672,1.7308,0.0144,0.2483,0.2945,0.6001,0.9599,1.7473,1.3509,0.5701,0.8757,0.7006,0.5829,0.0612,6.2616,0.0085,0.0448,0.0348,0.2772,0.0049,0.0008,0.0048,0.0255,0.0169,0.0062
G4_F_04_T1,0.7823,1.2325,1.4639,0.0162,0.2542,0.6065,1.1334,1.7083,1.8438,1.3036,0.6606,0.7019,0.8184,0.6361,0.0908,7.0362,0.0128,0.1095,0.0334,0.3517,0.0044,0.0138,0.0065,0.0444,0.0184,0.0595,0.8379,1.1305,1.3904,0.0252,0.3079,0.4918,0.8134,2.0634,2.3113,1.4545,0.5820,0.7250,0.7892,0.7485,0.1077,6.9497,0.0103,0.0957,0.0235,0.3439,0.0026,0.0181,0.0008,0.0382,0.0165,0.0397
G4_F_05_T1,1.3028,1.5700,1.7039,0.0218,0.2378,0.6505,0.9932,1.5201,2.7685,1.5985,0.6931,0.8369,1.0182,1.2273,0.0776,7.8843,0.0145,0.0840,0.0463,0.3771,0.0042,0.0026,0.0012,0.0744,0.0264,0.0296,1.3672,1.3986,1.5703,0.0296,0.2663,0.5577,0.9236,1.6817,2.6546,1.8563,0.8286,0.8571,1.0336,1.2223,0.1614,8.1321,0.0056,0.0770,0.0266,0.3699,0.0017,0.0069,0.0004,0.0449,0.0247,0.0228
G4_F_06_T1,1.2252,1.3582,1.5988,0.0261,0.2868,0.6604,0.8192,1.7353,2.8996,1.1163,0.6650,0.7525,0.8891,1.0409,0.0871,7.9919,0.0144,0.1122,0.0488,0.3614,0.0097,0.0057,0.0048,0.0401,0.0237,0.0312,1.3104,1.2399,1.5462,0.0311,0.3829,0.4838,0.9103,1.4595,3.2106,1.5088,0.5638,0.6271,0.6789,0.9615,0.1337,8.0552,0.0033,0.0844,0.0279,0.3056,0.0030,0.0056,0.0021,0.0288,0.0173,0.0197
G4_F_07_T1,1.2454,1.3499,1.5185,0.0074,0.1682,0.5230,0.6675,1.2114,1.9781,1.1753,0.5958,0.7460,0.7850,0.8153,0.0775,7.1086,0.0399,0.1095,0.1023,0.3210,0.0088,0.0024,0.0388,0.0462,0.0197,0.0329,1.3481,1.2829,1.3706,0.0170,0.2432,0.4786,0.8565,1.1843,2.1729,1.0734,0.5030,0.7787,0.7744,0.8440,0.0980,7.2517,0.0433,0.0888,0.0521,0.3182,0.0228,0.0080,0.0284,0.0284,0.0180,0.0129
G4_F_08_T1,1.2225,1.4982,1.8995,0.0061,0.2042,0.5000,0.8788,1.3766,1.5927,1.1830,0.5304,0.9836,0.8059,1.0208,0.0644,7.0118,0.0192,0.0809,0.0428,0.3668,0.0058,0.0129,0.0097,0.0487,0.0267,0.0233,1.3462,1.3255,1.7469,0.0197,0.2723,0.4384,0.7903,1.5491,2.0018,1.2243,0.6332,0.6684,0.8097,1.0220,0.0571,7.2170,0.0048,0.0975,0.0221,0.3854,0.0156,0.0125,0.0056,0.0429,0.0241,0.0060
G4_F_09_T1,1.0703,1.3974,1.5919,0.0064,0.2663,0.6237,0.9369,1.4405,1.7428,1.1520,0.5751,0.7425,0.6548,0.8406,0.0719,7.7794,0.0029,0.0676,0.0386,0.3515,0.0037,0.0072,0.0013,0.0505,0.0224,0.0157,1.1650,1.2670,1.4877,0.0218,0.2873,0.4572,0.8155,1.4942,2.0569,1.1956,0.4462,0.7263,0.8115,0.8041,0.0919,7.8860,0.0068,0.0590,0.0242,0.3112,0.0008,0.0084,0.0013,0.0449,0.0220,0.0129
G4_F_10_T1,1.1032,1.3449,1.5478,0.0074,0.2749,0.5848,0.7982,1.5206,2.3614,1.1419,0.6165,0.9200,0.9484,0.7277,0.0897,7.2744,0.0063,0.0881,0.0328,0.2846,0.0080,0.0155,0.0005,0.0431,0.0178,0.0396,0.9835,1.2534,1.4233,0.0155,0.2611,0.4406,0.7346,1.6911,2.6109,1.0639,0.5248,0.7498,0.9739,0.9159,0.0867,7.4569,0.0054,0.0689,0.0291,0.2918,0.0040,0.0151,0.0024,0.0336,0.0185,0.0271
G4_F_11_T1,1.2142,1.2696,1.3617,0.0132,0.2318,0.6809,0.9672,1.3674,2.4109,1.0487,0.5133,0.6894,0.9215,0.9512,0.1003,6.7049,0.0105,0.0723,0.0375,0.1822,0.0259,0.0055,0.0050,0.0157,0.0217,0.0157,1.2245,1.1559,1.3275,0.0254,0.3212,0.4938,0.9774,1.5232,2.4712,1.2538,0.4682,0.6685,0.7851,0.9964,0.1303,6.8534,0.0105,0.1019,0.0154,0.2507,0.0016,0.0081,0,0.0473,0.0208,0.0261
G4_F_12_T1,1.4604,1.4136,1.7323,0.0283,0.3485,0.5663,1.0158,1.5074,1.8956,1.3884,0.8259,1.1330,0.8056,1.0435,0.0744,6.9503,0.0084,0.0678,0.0520,0.3108,0.0123,0.0162,0.0108,0.0528,0.0313,0.0330,1.3980,1.3334,1.7477,0.0367,0.3375,0.5165,0.7745,1.4550,2.0616,1.5128,0.6312,0.9346,0.9138,1.0616,0.0863,7.0191,0.0150,0.0793,0.0327,0.3193,0.0139,0.0247,0.0067,0.0421,0.0320,0.0227
G4_F_13_T1,0.9782,1.2763,1.6964,0.0122,0.2232,0.7348,1.0856,2.2379,3.1495,1.5388,0.6271,0.8300,0.9078,1.0951,0.0798,6.8532,0.0150,0.1604,0.0437,0.3311,0.0085,0.0074,0.0162,0.0549,0.0216,0.0373,1.0137,1.1529,1.5582,0.0256,0.2791,0.5794,1.0833,2.2466,3.1260,2.2793,0.7223,0.9695,1.0136,1.0255,0.0780,7.0637,0.0158,0.1013,0.0353,0.2731,0.0037,0.0135,0.0062,0.0511,0.0231,0.0382
G4_F_15_T1,1.0512,1.2040,1.4569,0.0161,0.2138,0.4614,0.8965,1.3231,2.2534,1.3151,0.7701,0.7319,0.9164,1.0000,0.1050,6.1395,0.0110,0.0691,0.0527,0.2434,0.0044,0.0045,0.0043,0.0417,0.0180,0.0276,1.0343,1.0697,1.3379,0.0272,0.2663,0.3779,0.8126,1.5356,2.3117,1.3292,0.5866,0.6167,1.0076,0.9504,0.1292,6.0844,0.0104,0.0478,0.0299,0.2331,0.0031,0.0092,0.0055,0.0330,0.0181,0.0330
